City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
240,Zhangzhou,CN,82.11,overcast clouds,24.5133,117.6556,Crowne Plaza Zhangzhou
243,Meulaboh,ID,75.54,broken clouds,4.1363,96.1285,Kost Pria
245,Phuket,TH,86.09,few clouds,8.0,98.25,The Surin
248,Mapiripan,CO,75.06,overcast clouds,2.8892,-72.1256,Monserrate
250,Korla,CN,80.08,clear sky,41.7597,86.1469,Gulisitan Hotel
252,Persan,FR,85.1,clear sky,49.15,2.2667,Class'Eco Chambly
253,Nokha,IN,85.35,broken clouds,27.6,73.4167,Gurukarpa Hotel
255,Samarai,PG,80.35,few clouds,-10.6167,150.6667,Nuli Sapi
262,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
266,Rincon,US,80.85,broken clouds,32.296,-81.2354,Days Inn Rincon
267,Sasebo,JP,78.78,moderate rain,33.1592,129.7228,Toyoko Inn Sasebo Ekimae
269,Hasaki,JP,86.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
275,Eyl,SO,77.0,broken clouds,7.9803,49.8164,Amiin Hotel
277,Sydney Mines,CA,76.14,broken clouds,46.2367,-60.2177,At The Harbourfront B&B Inc
285,Khandyga,RU,76.3,overcast clouds,62.6667,135.6,Apel'sin
293,Goderich,CA,75.9,clear sky,43.7501,-81.7165,Harmony Inn
296,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
298,Lompoc,US,81.84,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
304,Itarema,BR,78.26,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
307,La Rioja,ES,76.78,clear sky,42.25,-2.5,Casa Concejos
308,Lazaro Cardenas,MX,83.89,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
309,Lebanon,US,83.44,overcast clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
310,Ahuimanu,US,85.75,broken clouds,21.4447,-157.8378,Paradise Bay Resort
315,Pasni,PK,82.87,broken clouds,25.2631,63.471,Kashmiri Hotal
318,Dafeng,CN,82.06,overcast clouds,23.4517,108.5881,Shenglong Hotel
319,Fare,PF,75.58,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
321,Astaneh-Ye Ashrafiyeh,IR,78.42,clear sky,37.2596,49.9444,Hotel Farrokhi هتل فرخی
328,Shingu,JP,79.9,light rain,33.7333,135.9833,Shingu UI Hotel
330,Caucaia,BR,77.04,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
333,Aquiraz,BR,77.18,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
334,Thessalon,CA,79.09,clear sky,46.2501,-83.5666,Carolyn Beach Inn & Restaurant
335,Casale Monferrato,IT,80.35,clear sky,45.1334,8.4571,Hotel Candiani
336,Ca Mau,VN,79.93,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
337,Iberia,US,89.67,clear sky,29.9502,-91.7507,back to back rv park
339,Yarada,IN,79.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
349,The Valley,AI,82.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
350,Oussouye,SN,80.08,overcast clouds,12.485,-16.5469,Auberge du Routard
351,Port Blair,IN,81.12,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
352,Hami,CN,80.35,overcast clouds,42.8,93.45,Laoyutang Resort
358,Minbu,MM,81.05,overcast clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
359,Yangjiang,CN,84.36,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
362,Kavaratti,IN,80.22,overcast clouds,10.5669,72.642,Green leaf
364,Isangel,VU,80.31,broken clouds,-19.55,169.2667,Tanna Lodge
368,Namatanai,PG,84.61,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
369,Hamilton,US,82.65,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
372,Foam Lake,CA,77.18,overcast clouds,51.65,-103.5343,Fishing Lake Lodge LTD
373,Mawlamyine,MM,79.7,broken clouds,16.4914,97.6256,Sandalwood Hotel
374,Lancaster,US,80.1,broken clouds,40.2504,-76.2499,Refreshing Mountain Retreat and Adventure Center
375,Felanitx,ES,80.13,clear sky,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
376,Newburgh,US,78.58,broken clouds,41.5034,-74.0104,Ramada by Wyndham Newburgh/West Point
377,Ternate,ID,78.62,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
384,Izumo,JP,78.69,thunderstorm,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
387,Koumac,NC,78.28,broken clouds,-20.5667,164.2833,Le Monitel
389,Manaure,CO,82.92,broken clouds,11.7751,-72.4445,Hotel Palaaima
392,Erenhot,CN,76.32,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
393,Ban Phaeo,TH,77.95,broken clouds,13.5907,100.1075,บริษัท โล้วเฮงหมงมอเตอร์ สาขาบ้านแพ้ว
395,Jabinyanah,TN,79.93,clear sky,35.035,10.9081,maison belmabrouk
396,Miri,MY,77.74,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
402,Kathu,TH,85.69,broken clouds,7.9178,98.3332,Novotel Phuket Resort
404,Tomigusuku,JP,87.93,broken clouds,26.185,127.675,Hotel Gran View Okinawa
406,Port Moresby,PG,80.82,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
407,Athens,GR,78.26,clear sky,37.9795,23.7162,Safestay Athens
413,Beni Suef,EG,83.17,few clouds,29.0731,31.0979,Jewel Inn Beni Suef
414,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
418,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
