City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Klaksvik,FO,62.2266,-6.589,50.92,87,100,13.42,overcast clouds
114,Katsuura,JP,35.1333,140.3,80.62,88,100,21.59,light rain
115,Carballo,ES,43.213,-8.691,66.0,83,19,7.9,few clouds
116,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,93,36,1.86,scattered clouds
117,Monte Patria,CL,-30.6919,-70.9467,62.35,36,0,2.91,clear sky
118,Saint-Philippe,RE,-21.3585,55.7679,67.59,79,59,16.91,light rain
119,Broome,US,42.2506,-75.833,74.68,88,100,17.27,light rain
120,Rabo De Peixe,PT,37.8,-25.5833,71.11,88,75,6.91,broken clouds
121,Vuyyuru,IN,16.3667,80.85,79.56,83,98,4.05,overcast clouds
122,Sfantu Gheorghe,RO,45.8667,25.7833,59.27,61,50,1.99,scattered clouds
123,Kaitangata,NZ,-46.2817,169.8464,46.27,87,100,9.17,overcast clouds
124,Warrnambool,AU,-38.3833,142.4833,51.82,62,70,8.19,broken clouds
125,Naifaru,MV,5.4444,73.3657,82.29,77,100,18.5,overcast clouds
126,Bethel,US,41.3712,-73.414,76.05,93,40,9.22,scattered clouds
127,Hilo,US,19.7297,-155.09,91.27,76,100,9.22,overcast clouds
128,Saint George,US,37.1041,-113.5841,103.78,18,0,14.97,clear sky
129,Nikolskoye,RU,59.7035,30.7861,54.88,88,46,4.7,scattered clouds
130,New Norfolk,AU,-42.7826,147.0587,45.91,76,82,2.35,broken clouds
131,Sidi Ali,DZ,36.0998,0.4206,75.31,75,0,2.24,clear sky
132,Dikson,RU,73.5069,80.5464,43.88,81,83,13.69,broken clouds
133,Buraydah,SA,26.326,43.975,87.12,12,4,6.6,clear sky
134,Orotukan,RU,62.2667,151.7,78.75,56,71,8.12,broken clouds
135,Narsaq,GL,60.9167,-46.05,52.02,73,98,0.69,overcast clouds
136,Uribia,CO,11.7139,-72.266,82.71,70,58,21.99,broken clouds
137,Molchanovo,RU,57.5817,83.7692,54.9,86,99,6.33,overcast clouds
138,Puerto Ayora,EC,-0.7393,-90.3518,67.55,96,88,5.99,overcast clouds
139,Kapaa,US,22.0752,-159.319,85.98,68,100,18.41,overcast clouds
140,Siteki,SZ,-26.45,31.95,55.06,91,0,3.56,clear sky
141,Khatanga,RU,71.9667,102.5,54.01,69,100,9.95,overcast clouds
142,Mercedes,AR,-34.6515,-59.4307,48.85,50,88,6.2,overcast clouds
143,Kahului,US,20.8947,-156.47,87.82,61,40,26.46,scattered clouds
144,Kemijarvi,FI,66.7131,27.4306,49.77,90,100,2.62,overcast clouds
145,Upernavik,GL,72.7868,-56.1549,44.1,79,100,4.29,overcast clouds
146,Kavieng,PG,-2.5744,150.7967,84.4,70,100,11.9,light rain
147,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.08,87,2,9.6,clear sky
148,Luderitz,NA,-26.6481,15.1594,56.8,86,0,9.86,clear sky
149,Nome,US,64.5011,-165.4064,44.67,76,100,24.16,light rain
150,Beringovskiy,RU,63.05,179.3167,54.64,51,12,21.61,few clouds
151,Faanui,PF,-16.4833,-151.75,76.87,71,80,7.78,broken clouds
152,Port Elizabeth,ZA,-33.918,25.5701,61.32,94,63,2.84,broken clouds
153,Tilichiki,RU,60.4667,166.1,61.84,59,100,6.58,overcast clouds
154,Suksun,RU,57.1431,57.3949,60.24,89,59,6.91,broken clouds
155,Zhigansk,RU,66.7697,123.3711,49.98,81,100,17.54,light rain
156,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,46,0,19.57,clear sky
157,Cidreira,BR,-30.1811,-50.2056,56.39,92,0,3.47,clear sky
158,Tuktoyaktuk,CA,69.4541,-133.0374,54.99,83,100,3.36,overcast clouds
159,Half Moon Bay,US,37.4636,-122.4286,95.88,76,0,24.16,haze
160,Rawlins,US,41.7911,-107.2387,75.09,50,75,9.22,broken clouds
161,Coihaique,CL,-45.5752,-72.0662,39.81,75,75,4.61,broken clouds
162,Zelenchukskaya,RU,43.858,41.5894,59.86,95,99,0.31,moderate rain
163,Kruisfontein,ZA,-34.0033,24.7314,56.88,92,65,2.86,broken clouds
164,Arona,ES,28.0996,-16.681,70.92,84,0,14.97,clear sky
165,Kolpashevo,RU,58.3131,82.9089,55.35,89,100,9.24,overcast clouds
166,Marsh Harbour,BS,26.5412,-77.0636,83.32,78,6,10.16,clear sky
167,Bluff,NZ,-46.6,168.3333,45.81,72,97,16.17,overcast clouds
168,Riyadh,SA,24.6877,46.7219,89.74,13,50,9.13,scattered clouds
169,Panalingaan,PH,8.7842,117.4231,79.74,81,100,3.6,overcast clouds
170,Ust-Kuyga,RU,70.0167,135.6,43.77,83,100,12.86,overcast clouds
171,Lorengau,PG,-2.0226,147.2712,82.4,73,97,6.22,moderate rain
172,Rawson,AR,-43.3002,-65.1023,43.92,49,45,14.47,scattered clouds
173,Brae,GB,60.3964,-1.353,55.94,93,69,11.25,broken clouds
174,Santa Ana,US,33.7456,-117.8678,99.41,51,40,12.66,scattered clouds
175,Sibut,CF,5.718,19.0739,69.04,99,100,2.01,moderate rain
176,Hofn,IS,64.2539,-15.2082,50.74,84,84,9.95,broken clouds
177,Dickinson,US,29.4608,-95.0513,95.13,68,40,19.57,scattered clouds
178,Te Anau,NZ,-45.4167,167.7167,42.39,97,100,4.61,overcast clouds
179,Namibe,AO,-15.1961,12.1522,64.94,86,83,2.66,broken clouds
180,Tautira,PF,-17.7333,-149.15,76.35,73,19,6.71,few clouds
181,Kozhva,RU,65.1073,57.0459,61.03,88,64,3.4,broken clouds
182,Krapina,HR,46.1608,15.8789,66.51,58,30,1.88,scattered clouds
183,Killybegs,IE,54.6333,-8.45,61.84,93,100,5.19,overcast clouds
184,Geraldton,AU,-28.7667,114.6,52.21,93,27,11.5,scattered clouds
185,Saint-Joseph,RE,-21.3667,55.6167,66.58,77,32,17.58,scattered clouds
186,Mana,GF,5.6592,-53.7767,78.58,86,48,8.7,scattered clouds
187,Clyde River,CA,70.4692,-68.5914,37.63,87,75,9.22,broken clouds
188,Dalbandin,PK,28.8947,64.4101,84.92,60,28,8.08,scattered clouds
189,Ribeira Grande,PT,38.5167,-28.7,72.0,91,33,5.41,scattered clouds
190,Bahia Honda,CU,22.9036,-83.1592,83.35,78,7,8.72,clear sky
191,Ahipara,NZ,-35.1667,173.1667,62.17,84,83,11.21,broken clouds
192,Kranuan,TH,16.7067,103.0788,85.51,82,85,5.1,overcast clouds
193,Pahalgam,IN,34.0333,75.3333,61.0,90,17,0.51,few clouds
194,Sinnamary,GF,5.3833,-52.95,78.67,85,43,8.86,scattered clouds
195,Tura,IN,25.5198,90.2201,74.73,97,99,5.84,overcast clouds
196,Homer,US,59.6425,-151.5483,64.27,70,0,9.22,clear sky
197,Horta,PT,38.5333,-28.6333,72.16,90,29,4.21,scattered clouds
198,Aragarcas,BR,-15.8975,-52.2508,71.28,28,0,0.65,clear sky
199,Kupang,ID,-10.1667,123.5833,75.83,66,56,12.97,broken clouds
200,Souillac,MU,-20.5167,57.5167,69.1,67,47,22.28,scattered clouds
201,Vanimo,PG,-2.6741,141.3028,79.48,86,93,0.69,overcast clouds
202,Sakakah,SA,29.9697,40.2064,90.23,20,2,6.49,clear sky
203,Yinchuan,CN,38.4681,106.2731,73.99,41,100,9.91,overcast clouds
204,Lakatoro,VU,-16.0999,167.4164,81.95,71,43,17.25,scattered clouds
205,East London,ZA,-33.0153,27.9116,69.1,35,18,11.7,few clouds
206,Den Helder,NL,52.9599,4.7593,70.99,71,23,5.01,few clouds
207,Saqqez,IR,36.2499,46.2735,73.02,22,0,5.14,clear sky
208,Mehamn,NO,71.0357,27.8492,58.95,77,75,3.44,broken clouds
209,Maniitsoq,GL,65.4167,-52.9,44.08,91,100,2.57,overcast clouds
210,Wanning,CN,18.8003,110.3967,84.33,84,97,9.8,overcast clouds
211,San Patricio,US,28.017,-97.5169,92.53,57,41,16.6,scattered clouds
212,Pisco,PE,-13.7,-76.2167,61.02,82,69,10.36,mist
213,La Ferte-Bernard,FR,48.1863,0.6536,85.62,28,0,10.74,clear sky
214,Tomatlan,MX,19.9333,-105.25,85.26,68,99,3.69,overcast clouds
215,Sumbe,AO,-11.2061,13.8437,68.49,91,25,4.81,scattered clouds
216,Zapolyarnyy,RU,69.4154,30.8136,54.68,85,69,4.25,broken clouds
217,Carutapera,BR,-1.195,-46.02,77.07,87,68,7.83,broken clouds
218,Ormara,PK,25.2088,64.6357,83.07,87,83,8.84,broken clouds
219,Luan,CH,46.3592,6.9759,66.83,72,2,5.1,clear sky
220,Conceicao Do Araguaia,BR,-8.2578,-49.2647,75.97,41,6,1.97,clear sky
221,Shaoyang,CN,27.2315,111.4525,75.87,97,100,2.48,overcast clouds
222,Cesky Krumlov,CZ,48.8109,14.3152,64.38,82,51,2.68,broken clouds
223,Luksuhin,PH,14.0967,120.8808,78.58,84,82,3.56,broken clouds
224,Gibgos,PH,13.859,123.7675,82.04,80,36,4.7,scattered clouds
225,Payo,ID,-3.7508,103.6372,74.23,94,82,1.74,broken clouds
226,Ocos,GT,14.5094,-92.1933,86.18,73,58,6.08,broken clouds
227,Airai,TL,-8.9266,125.4092,61.11,46,90,3.11,overcast clouds
228,Berlevag,NO,70.8578,29.0864,59.0,77,100,0.0,overcast clouds
229,Pechora,RU,65.1472,57.2244,60.42,85,56,3.62,broken clouds
230,Vao,NC,-22.6667,167.4833,73.29,84,99,15.93,overcast clouds
231,Santarem,BR,-2.4431,-54.7083,80.73,83,75,4.61,broken clouds
232,Lebu,CL,-37.6167,-73.65,44.55,77,73,3.49,broken clouds
233,Warrington,GB,53.3925,-2.5802,80.8,50,0,4.61,clear sky
234,Durango,MX,24.8333,-104.8333,76.89,35,82,7.18,broken clouds
235,Cabo San Lucas,MX,22.8909,-109.9124,93.61,64,20,11.5,few clouds
236,Camacha,PT,33.0833,-16.3333,65.62,77,40,8.05,scattered clouds
237,Altus,US,34.6381,-99.334,105.66,14,0,6.91,clear sky
238,Dok Kham Tai,TH,19.1624,99.9934,76.78,91,100,2.77,overcast clouds
239,Waingapu,ID,-9.6567,120.2641,78.12,66,34,11.83,scattered clouds
240,Zhangzhou,CN,24.5133,117.6556,82.11,86,100,1.34,overcast clouds
241,Champerico,GT,14.3,-91.9167,90.14,76,24,5.97,few clouds
242,Bilibino,RU,68.0546,166.4372,51.89,53,100,3.13,overcast clouds
243,Meulaboh,ID,4.1363,96.1285,75.54,86,79,4.79,broken clouds
244,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,87,49,7.38,scattered clouds
245,Phuket,TH,8.0,98.25,86.09,89,20,6.91,few clouds
246,Scarborough,GB,54.2797,-0.4044,73.92,65,22,4.88,few clouds
247,Ponta Do Sol,PT,32.6667,-17.1,70.43,80,8,5.21,clear sky
248,Mapiripan,CO,2.8892,-72.1256,75.06,90,85,2.53,overcast clouds
249,Tiksi,RU,71.6872,128.8694,34.39,86,100,20.51,overcast clouds
250,Korla,CN,41.7597,86.1469,80.08,19,3,15.61,clear sky
251,Torbay,CA,47.6666,-52.7314,65.17,79,75,16.11,broken clouds
252,Persan,FR,49.15,2.2667,85.1,52,0,5.75,clear sky
253,Nokha,IN,27.6,73.4167,85.35,72,77,10.8,broken clouds
254,Manono,CD,-7.3,27.4167,71.82,43,7,4.12,clear sky
255,Samarai,PG,-10.6167,150.6667,80.35,82,19,9.24,few clouds
256,Caravelas,BR,-17.7125,-39.2481,70.74,78,20,4.97,few clouds
257,Gorom-Gorom,BF,14.4439,-0.2361,79.09,70,58,17.47,light rain
258,Penzance,GB,50.1186,-5.5371,70.48,63,68,12.82,broken clouds
259,Fairbanks,US,64.8378,-147.7164,61.61,71,100,16.11,light rain
260,La Ronge,CA,55.1001,-105.2842,74.73,38,20,5.39,few clouds
261,Port Macquarie,AU,-31.4333,152.9167,56.89,64,24,11.61,few clouds
262,Gat,IL,31.61,34.7642,78.4,83,0,0.63,clear sky
263,Pangody,RU,65.85,74.4859,58.15,64,25,8.95,scattered clouds
264,Constitucion,CL,-35.3333,-72.4167,48.87,90,81,8.37,broken clouds
265,Pag,HR,44.445,15.0575,72.18,48,40,15.84,scattered clouds
